Date Created,Number of Likes,Source of Tweet,Tweets
2023-01-19 10:52:14+00:00,20,Twitter for iPhone,Statement of my political group @ALDEParty @RenewEurope in @Europarl_EN We urge Azerbaijan to immediately and unconditionally remove any obstacles hindering freedom and security of movement along Lachin Corridor connecting Armenia with Nagorno Karabakh.
2023-01-17 13:12:51+00:00,144,Twitter for iPhone,Azerbaijan cuts off natural gas supply to Nagorno Karabakh. On the 36th day of the blockade of Lachin Corridor Azerbaijan weaponising blockade of gas supply along with blockade of all basic needs for life for 120k people of NK. Azerbaijan must be sanctioned for these actions. https://t.co/J3FiGS7rbI
2023-01-17 08:16:45+00:00,64,Twitter for iPhone,Լաչինի միջանցքում ստեղծված իրավիճակի շուրջ հարցազրույց եմ տվել իսպանական «El Nacional. Cat» թերթին: Խնդրի միջազգայնացմումն ու Ադրբեջանի նկատմամբ միջազգային ճնշում ձևավորելուն այլընտրանք չկա: https://t.co/cubAszdHHo
2023-01-12 07:32:07+00:00,239,Twitter for iPhone,"It's been a month since Azerbaijan blocked the Lachin Corridor of NK and only the @ICRC has access to transport critically ill patients. There is no food, medicine and or means of life, 120K people, including 30K children are starving in front of the eyes of the civilized world. https://t.co/acw6Qgy6ex"
2023-01-11 19:24:40+00:00,69,Twitter for iPhone,Azerbaijan must end the blockade of the #Lachin corridor!!! @presidentaz @SecBlinken @JosepBorrellF @antonioguterres @CharlesMichel @CNN @BBCWorld @nytimes @washingtonpost @AJEnglish
2023-01-11 08:59:52+00:00,312,Twitter for iPhone,Yesterday's statement of Aliyev re the blockade of Lachin Corridor was a pure confession of ethnic cleansing implemented on the state level. He said that the road is open for those who don't want to be AZ citizens. They can leave by cars or by buses of Russian peacekeepers. https://t.co/ElOrC53Eon
2023-01-10 06:21:22+00:00,250,Twitter for iPhone,"Azerbaijan keeps 120K people of Nagorno Karabakh under siege for a month, and Armenian POWs for over 2 years, violating international law. AZ must lift the blockade of Lachin Corridor and release the POWs. International law must be respected no matter how much gas &amp; oil you have. https://t.co/zlhcUhs7Wu"
2023-01-07 18:41:42+00:00,536,Twitter for iPhone,"They celebrate starvation of 120K people. Azerbaijani “environmental activists” backed by AZ government are greeting the military personnel with whom they keep the Lachin Corridor blocked for already 27 days, which is the only supply channel from the world to NK. Disgusting… https://t.co/wwjkfgofAt"
2023-01-06 12:28:01+00:00,22,Twitter for iPhone,Краткое интервью о последних событиях на внешнем фронте международному информационному агентству @RTVI https://t.co/HtdRc6Lp3I via @YouTube
2023-01-05 16:53:07+00:00,132,Twitter for iPhone,"@NasimiAghayev When you say the same rights, do you mean the policy of starvation of 120K people of Nagorno-Karabakh? I think with blockade of Lachin Corridor you affirmed that all demands of the people of Nagorno-Karabakh are legitimate, under international law."
2023-01-05 12:35:40+00:00,200,Twitter for iPhone,"Day 25, Lachin Corridor is still blocked by Azerbaijan. By starving 120K population of Nagorno-Karabakh, AZ affirms that all demands of the people of NK are legitimate, under international law, hence, they must be properly addressed sooner or later. @SecBlinken @CharlesMichel https://t.co/h3NLXtzAZ5"
2023-01-02 12:40:48+00:00,144,Twitter for iPhone,"It's been 22 days since Azerbaijan keeps the 120K NK population under siege by blocking the Lachin Corridor. Obviously, AZ chose a policy of starving peaceful people. International community should take a clear stance and tell what consequences AZ should face for such behaviour? https://t.co/qpEvhm5S2I"
2022-12-31 17:46:10+00:00,211,Twitter for iPhone,"Day 20, New Year’s Eve, Azerbaijan continues the blockade of Lachin Corridor, keeping families apart, depriving people of basic provisions. Only @ICRC has access to Nagorno Karabakh. People in NK will meet the New Year in siege of Azerbaijan. Which we will never forget. https://t.co/qdK6vpklFr"
2022-12-30 14:27:15+00:00,61,Twitter for iPhone,Day 19… humanitarian situation in Nagorno Karabakh is worsening. Azerbaijan must comply with its obligations and Unblock Lachin Corridor. @CharlesMichel @JosepBorrellF @vonderleyen @EmmanuelMacron @SecBlinken @ToivoKlaar
2022-12-30 04:49:27+00:00,18,Twitter for iPhone,"Rest in peace, Pele…"
2022-12-29 17:57:23+00:00,6,Twitter for iPhone,"@JosepBorrellF What about the senseless blockade of Lachin Corridor by Azerbaijan. It’s already the 18th day that Azerbaijan keeps 120k people in total siege. The actions of Azerbaijan have a clear purpose of ethnic cleansing, which is also crime against humanity. Act as soon as possible."
2022-12-29 07:43:34+00:00,228,Twitter for iPhone,"Day 18, AZ continues violating fundamental human rights of 120k people in NK keeping them under siege, which is impermissibe. International community shouldn't observe it as something normal today. Actions must be taken to hold AZ accountable for gross violations. @SecBlinken https://t.co/HxWmeis0dZ"
2022-12-28 09:50:42+00:00,44,Twitter for iPhone,@UNHumanRights There is no room for Bothsidesism. It’s very clear Azerbaijan blocked the only road the Lachin Corridor and Azerbaijan must UNBLOCK it.
2022-12-28 06:38:01+00:00,180,Twitter for iPhone,"Since December 12, Azerbaijan has closed the Lachin Corridor connecting Nagorno Karabakh to Armenia, as a result of which 120k residents of Nagorno Karabakh, including 30k children, are under blockade. 1100k civilians, including 270 minors, cannot return from Armenia to NK. https://t.co/FpI4dKvNiL"
2022-12-27 08:16:37+00:00,307,Twitter for iPhone,"Day 16, the road from Nagorno Karabakh to Armenia, the Lachin Corridor, remains blocked by Azerbaijan. The only supply route for 120k people of which 30k children. AZ promised rights and security guarantees to NK people, then blocked them and keps under siege. Isn't it weird? https://t.co/HiY8SEYAME"
2022-12-26 10:29:25+00:00,93,Twitter for iPhone,Day 15 of total siege of Nagorno Karabakh by Azerbaijan. Only @ICRC have access to Nagorno Karabakh to 120 thousand people…
2022-12-25 13:07:39+00:00,193,Twitter for iPhone,"Day 14, people voice against AZ policy of ethnic cleansing. The whole world voiced that Lachin Corridor must be opened and people of NK mustn't suffer for groundless demands of AZ. Establishment of international mechanisms to deal with issues between NK and AZ has no alternative. https://t.co/hBu2kXmvIl"
2022-12-25 06:16:51+00:00,295,Twitter for iPhone,"Yesterday AZ confirmed they have committed two gross violations of international law: 
1. The aggression towards the sovereign territory of Armenia in the September. 
2. The blockade of the Lachin Corridor, clearly showing that only @ICRC vehicles have access to NK. @SecBlinken https://t.co/lvDl78sOHK"
2022-12-24 15:39:26+00:00,91,Twitter for iPhone,"@HikmetHajiyev @ICRC @HikmetHajiyev shows the @ICRC vehicles passing through the Lachin Corridor. Azerbaijani leadership by drumming it up as an act of humanism, confirms that Nagorno Karabakh is in a deep humanitarian crisis, the Lachin Corridor is blocked by AZ and ONLY Red Cross has access."
2022-12-24 09:52:18+00:00,46,Twitter for iPhone,"@HikmetHajiyev shows the @ICRC vehicles passing through the Lachin Corridor. Azerbaijani leadership by drumming it up as an act of humanism, confirms that Nagorno Karabakh is in a deep humanitarian crisis, the Lachin Corridor is blocked by AZ and ONLY Red Cross has access. https://t.co/7bgpJiSXHf"
2022-12-23 06:35:46+00:00,66,Twitter Web App,"Mr. Sullivan noted the US ongoing concern over impeded access to the Lachin Corridor and the growing humanitarian implications of this situation, and called for full restoration of free movement through the corridor."" https://t.co/lObNTO4kZZ"
2022-12-23 05:14:50+00:00,109,Twitter for iPhone,"Today Azerbaijan opened fire again on peaceful and democratic Armenia. Azerbaijan keeps Lachin Corridor blocked for already 12 days… leaving 120k people of Nagorno-Karabakh without food, medicine, supplies and families divided in different sides of the blockade."
2022-12-22 06:13:16+00:00,171,Twitter for iPhone,"So-called ""eco activists"" of Azerbaijan adopted a statement addressed to the discussion of UN Security Council, blaming them for one-sidedness. Then AZ MFA made a another statement. I am tormented by doubts whether both were written by the same diplomats of AZ MFA. Any thoughts?"
2022-12-21 15:09:37+00:00,84,Twitter for iPhone,The European Court of Human Rights has granted Armenia’s request and indicated interim measures in respect of Azerbaijan. @YeghisheK https://t.co/zXL1YAEf3j
2022-12-21 07:29:53+00:00,131,Twitter for iPhone,"Day 10 the whole world voiced that Lachin Corridor must be opened and people of NK mustn't suffer for groundless demands of AZ. There are no alternatives! As initially agreed in Washington DC, international mechanisms must be established to deal with all issues between NK and AZ. https://t.co/6QmbhwTQDc"
2022-12-20 14:07:44+00:00,191,Twitter for iPhone,I was just informed that a 44 years old man died in the hospital due to Nagorno Karabakh blockade by Azerbaijan. UNBLOCK Lachin Corridor!!! End this meaningless humanitarian crisis in Nagorno Karabakh. You endanger the lives of 120K people… @ilhamialiyev61 @SecBlinken https://t.co/G5WmSkkyje
2022-12-20 07:01:12+00:00,181,Twitter for iPhone,"""Environmental activists"" of Azerbaijan have taken responsibility for checking humanitarian cargo and are preventing the unhindered passage of cargo through the Lachin Corridor. Basically, they have illegally reserved customs duties. This nonsense has to be stoped! https://t.co/9slVzQg4O5"
2022-12-19 07:10:42+00:00,192,Twitter for iPhone,"The only supply channel, Lachin Corridor, for 120K NK Armenians, including 30K children, is blocked by AZ for 8 days already. AZ created a humanitarian crisis with no reasonable explanation.This gross violation of human rights requires international reaction &amp; legal consequences. https://t.co/0SmEhpaFDU"
2022-12-19 06:03:25+00:00,105,Twitter for iPhone,"According to Azerbaijan, the so called “monitoring” of a mine is more important than the lives of 120k people from which 30k children. @SecBlinken @CharlesMichel @EmmanuelMacron"
2022-12-17 18:16:25+00:00,193,Twitter for iPhone,"6th day is passing already that Azerbaijan keeps the Lachin Corridor blocked at the cost of a humanitarian disaster in Nagorno-Karabakh. According to Azerbaijan, the monitoring of a mine is more important than the lives of 120k people from which 30k children. @SecBlinken https://t.co/Kx7nyoyd52"
2022-12-17 13:12:07+00:00,10,Twitter for iPhone,2022 թվականի դեկտեմբերի 17-ին տեղի ունեցավ «Լուսավոր Հայաստան» կուսակցության 7-ամյա գործունեությանը նվիրված համաժողովը։ https://t.co/wgD9Z7cOhf
2022-12-16 21:51:28+00:00,47,Twitter for iPhone,Action needed @SCRtweets @SecBlinken @EmmanuelMacron @CharlesMichel
2022-12-16 20:01:52+00:00,25,Twitter for iPhone,"Լաչինի միջանցքի փակումը Լեռնային Ղարաբաղի խնդրի չկարգավորված լինելու հետևանք է: Մեզ խնդրի համապարփակ լուծում է պետք, այլապես հետևանքների դեմ պայքարով հիմնական խնդիրը կմնա չկարգավորված: https://t.co/Ex7jp6vCi7 via @YouTube"
2022-12-16 11:13:51+00:00,166,Twitter for iPhone,"The only humanitarian route Lachin Corridor which connects Nagorno Karabakh with Armenia is blocked by Azerbaijan. The only supply channel for 120K people, of which 30K kids. Lachin Corridor must be opened. https://t.co/MYJwtMMEZK"
2022-12-15 22:05:30+00:00,111,Twitter Web App,Azerbaijan must open Lachin Corridor Immediately and resume natural gas supply to Nagorno Karabagh. @PowerUSAID @POTUS @SecBlinken
2022-12-15 16:16:31+00:00,75,Twitter for iPhone,"4 days ago, AZ blocked the Lachin Corridor. The only supply channel for 120K people, of which 30K kids.
2 days ago, in times of severe winter AZ has cut off the gas supply to NK. 
Today the AZ FM Bayramov said that NK Armenians don't have any problems. Where is there logic? https://t.co/tUYspGjDBl"
2022-12-15 12:08:46+00:00,19,Twitter for iPhone,International mechanism for talks between NK and Azerbaijani representatives has no alternative – Marukyan https://t.co/OO9YExe8Wk
2022-12-15 06:07:52+00:00,169,Twitter for iPhone,"Why AZ is punishing 120K people of NK, including 30K children? I insist that AZ is doing this to NK for its democratic choice, which sustains for 30 years already. Today NK has no gas and totally blocked. NK Armenians are waiting for the reaction &amp; real steps from int. community. https://t.co/QBFjOtUXI3"
2022-12-14 20:33:25+00:00,186,Twitter for iPhone,Azerbaijani “environmental activist” who blocked the Lachin corridor brought white pigeons 🕊️ and literally killed one of them… poor pigeon…🕊️ Please go home and leave people and creatures in peace.
2022-12-14 19:52:17+00:00,41,Twitter for iPhone,"Today, I visited and expressed our unconditional support to @Artak_Beglaryan Advisor to the Minister of the State of Artsakh, who was staging a sit-in in front of the UN office. My brief on the blockade of NK by AZ and the humanitarian crisis here: https://t.co/75s1mBUcin"
2022-12-14 19:20:38+00:00,0,Twitter for iPhone,"@RepJimCosta asked Karen Donfried, Assistant Secretary of State for European and Eurasian Affairs, about the specific steps the United States is taking to end Azerbaijan’s blockade and heating fuel cut off in Artsakh.
Thank you congressman @RepJimCosta"
2022-12-14 19:12:33+00:00,56,Twitter for iPhone,Europe Minister: Blocking the Lachin corridor and disrupting gas supplies in winter risks severe humanitarian consequences.
2022-12-14 18:17:04+00:00,56,Twitter for iPhone,Այսօր առավոտյան այցելեցի և մեր անվերապահ զորակցությունը հայտնեցի ՄԱԿ-ի գրասենյակի առջև նստացույց անող Արցախի պետնախարարի խորհրդական Արտակ Բեգլարյանին։ Կարճ զրույց ունեցա լրագրողների հետ և անդրադարձա Ադրբեջանի կողմից Լեռնային Ղարաբաղի շրջափակման և հումանիտար աղետին: https://t.co/PUPrXbdKLN
2022-12-14 14:38:26+00:00,58,Twitter for iPhone,We welcomes the motion of 🇳🇱 parliament by @christenunie MP @StienekevdGraaf for calling on the 🇳🇱 government to urge the #EuropeanCouncil for a joint appeal to 🇦🇿 to cease hostilities against the people of #NagornoKarabakh and to immediately open up the #LachinCorridor
2022-12-14 12:06:00+00:00,87,Twitter for iPhone,Azerbaijan shoots itself in the foot with this step and proves to the world that assurances were just words.
2022-12-14 10:39:51+00:00,154,Twitter for iPhone,"Our alarm about the humanitarian crisis in Nagorno-Karabakh is not exaggerated at all. The crisis is deepening and AZ continues to shut off the gas and keep the only humanitarian road blocked, endangering the lives of 120k people, including 30k children. Action needed @SecBlinken https://t.co/N8mBJ9xLJy"
2022-12-14 08:42:31+00:00,28,Twitter for iPhone,The international community’s reaction is very unequivocal – the Lachin Corridor must be opened immediately and the gas supply must be restored. @SecBlinken @StateDeptSpox @CharlesMichel @JosepBorrellF @EmmanuelMacron @vonderleyen
2022-12-14 08:24:30+00:00,154,Twitter for iPhone,"Azerbaijani “environmental activist"" in action…"
2022-12-14 07:26:45+00:00,48,Twitter for iPhone,"State Dept: Any disruption to energy infrastructure could precipitate a humanitarian crisis, especially as we’re entering the winter months. If deliberate, it’s unacceptable to target the civilian population of Nagorno-Karabakh. https://t.co/T0fHX88lAd"
2022-12-14 06:27:12+00:00,124,Twitter for iPhone,"AZ keeps telling that all rights &amp; securities of NK Armenians are guaranteed. Meanwhile, it's the 3rd day, Lachin Corridor is blocked. Gas supply was cut off causing disaster in NK. AZ shoots itself in the foot with this step &amp; proves to the world that assurances were just words. https://t.co/NS9AhaiF5I"
2022-12-13 20:11:29+00:00,120,Twitter for iPhone,"Also the gas supply to Nagorno Karabakh which was cut off today by Azerbaijan must be restored immediately, 120k people from which 30k children are freezing in this severe winter time. @SecBlinken @SpeakerPelosi"
2022-12-13 15:10:09+00:00,230,Twitter for iPhone,"In times of severe winter AZ has cut off the gas supply in entire territory of NK along with the second day of blockage of the only road from NK to Armenia. Now for sure we have a humanitarian disaster, which must be properly addressed by international community. @SecBlinken https://t.co/kZ4KcevJ5f"
2022-12-13 13:59:00+00:00,107,Twitter for iPhone,"@CharlesMichel What about the people of Nagorno Karabakh? Will you stand with them? Right now they’re punished for their democratic choice. It’s been a day since AZ blocked Lachin Corridor. The only supply channel for 120K people, of which 30K kids. AZ sends a clear signal of ethnic cleansing."
2022-12-13 10:21:35+00:00,20,Twitter for iPhone,@aniboghoss Disgusting…
2022-12-13 10:19:52+00:00,57,Twitter for iPhone,"We emphasise the necessity of launching or restarting the international mechanisms for ensuring the rights &amp; security of the Armenians of NK, &amp; for this purpose we will start consultations with international partners in the near future. @SecBlinken @CharlesMichel @JosepBorrellF"
2022-12-13 09:11:49+00:00,144,Twitter for iPhone,"Azerbaijani “environmental activist"" in action…"
2022-12-13 06:20:42+00:00,141,Twitter for iPhone,"It’s been day since AZ blocked Lachin Corridor. The only supply channel for 120K people, of which 30K kids. AZ sends a clear signal of ethnic cleansing: a crime against humanity. Despite the silence of international community NK Armenians still believe in their democratic choice. https://t.co/iD0yigCEDx"
2022-12-12 12:03:11+00:00,166,Twitter for iPhone,"For more than 5 hours, #Azerbaijan has blocked the only road from Nagorno Karabagh to #Armenia, which is first of all a humanitarian corridor to the external world. A gross violation of trilateral statement continues. @SecBlinken @CharlesMichel @EmmanuelMacron @JosepBorrellF https://t.co/2BsFZri0Ta"
2022-12-12 08:06:03+00:00,139,Twitter for iPhone,"AZ ""ecology activists"" have closed the only road connecting NK with Armenia. This is a clear provocation and gross violation of 2020 trilateral ceasefire statement. Hope it won't lead to humanitarian crisis and common sense will prevail. Lachin corridor must function as usual."
2022-12-11 17:43:18+00:00,67,Twitter for iPhone,🇫🇷 🇫🇷 🇫🇷 Félicitations à la #France - gagnant de l'@EurovisionJr. #JESC22 #JuniorEurovision . Bien chanté.
2022-12-11 05:38:50+00:00,31,Twitter for iPhone,@cher So sorry to hear @cher May she rest in eternal peace and love. Our sincere condolences 🙏
2022-12-09 10:25:50+00:00,66,Twitter for iPhone,Although Azerbaijan keeps claiming that the issue of NK is an internal matter. It's good that yesterday AZ representative finally accepted that the issues of security &amp; rights of NK Armenians was discussed. This must be addressed for the sake of peace.
2022-12-09 07:44:45+00:00,28,Twitter for iPhone,"@ilgarmammadov The rights &amp; security of NK Armenians haven't been guaranteed till now. Your note on Zangezur is a total lie. It's good, though, that yesterday AZ rep has finally accepted that the issues of security &amp; rights of NK Armenians was discussed. Hence, these issues must be addressed."
2022-12-03 05:59:17+00:00,83,Twitter for iPhone,"#Azerbaijan not only has been continuing its warmongering rhetoric, but also military aggression against sovereignty &amp; territorial integrity of #Armenia."
2022-12-02 16:59:47+00:00,3,Twitter for iPhone,"@ALDEParty #ALDECouncil kicked off today in #Bratislava! Policy Advisory Groups:
🔵 Democracy and Security
🔵 Liberal priorities for 🇪🇺🇨🇳 relations 
🔵 Ukraine &amp; fighting populism 
🔵 Energy and green transition 
🔵 Tackling the cost-of-living crisis and inflation
@BrightArmenia https://t.co/ETAc4t89Sh"
